estimate,reserve_group,owner_group,forest_group,ref_unit,agerange
13357.4522291165,NR,OF,PP,North Interior,AGEID13
184161.018369029,NR,OF,HW,North Coast,AGEID15
2313163.41638883,NR,FS,MC,North Interior,AGEID15
344224.688386127,NR,FS,HW,Sacramento,AGEID16
1100960.20936882,NR,OF,HW,North Coast,AGEID10
167686.217709846,NR,FS,OS,Sacramento,AGEID4
648182.143280396,R,FS,OS,Sacramento,AGEID999
3280932.38494589,NR,PR,HW,North Coast,AGEID8
986815.093890119,NR,FS,OS,San Joaquin,AGEID8
238459.51082013,R,FS,HW,San Joaquin,AGEID13
5800686.16969044,NR,PR,MC,North Interior,AGEID6
421042.896370514,NR,PR,MC,Sacramento,AGEID2
183927.604991666,NR,OF,NS,San Joaquin,AGEID0
1644756.56437233,NR,PR,HW,North Coast,AGEID9
921766.870225345,NR,FS,OS,San Joaquin,AGEID9
101560.839016662,NR,FS,OS,San Joaquin,AGEID14
267444.17464126,NR,PR,HW,North Coast,AGEID14
642678.602376352,NR,FS,OS,Sacramento,AGEID5
1262404.29594744,R,FS,MC,San Joaquin,AGEID13
378413.736155116,R,FS,OS,San Joaquin,AGEID7
202896.956194296,NR,FS,OS,San Joaquin,AGEID17
51313.4333684762,R,OF,PP,San Joaquin,AGEID15
493971.006439818,NR,PR,HW,Sacramento,AGEID2
1590780.37776559,NR,PR,HW,North Interior,AGEID6
1460617.14189597,NR,FS,MC,San Joaquin,AGEID14
253045.864926919,NR,PR,RW,Central Coast,AGEID12
1840930.16711372,NR,FS,MC,San Joaquin,AGEID9
737288.897380435,NR,PR,OS,North Interior,AGEID6
20315.5309969476,NR,PR,OS,Sacramento,AGEID2
3426643.56929409,NR,PR,NS,North Interior,AGEID0
441482.760662834,NR,FS,HW,Sacramento,AGEID5
244151.543475777,NR,FS,HW,North Interior,NOAGE
1176113.86217405,NR,FS,MC,San Joaquin,AGEID8
182659.89529155,R,SLPub,PP,Sacramento,AGEID10
319620.201395443,NR,FS,MC,San Joaquin,AGEID17
376373.240091144,NR,OF,HW,North Coast,NOAGE
364323.872441042,R,FS,MC,San Joaquin,AGEID7
448550.212963195,NR,FS,HW,San Joaquin,AGEID9
18431.23569184,NR,PR,OS,North Coast,AGEID9
502056.626416955,R,FS,OS,San Joaquin,AGEID13
125936.502644406,NR,FS,MC,North Interior,NOAGE
141837.208133518,NR,PR,OS,North Coast,AGEID8
647906.70270295,NR,FS,HW,San Joaquin,AGEID8
1453625.99145165,NR,FS,MC,Sacramento,AGEID5
1670774.96534371,NR,PR,MC,North Interior,AGEID4
293430.043633745,NR,PR,OS,Sacramento,AGEID15
76386.9390573323,NR,OF,HW,Central Coast,NOAGE
193910.736530355,R,FS,DF,North Coast,AGEID18
91708.8362484229,R,SLPub,MC,Sacramento,AGEID999
3421385.88099765,R,OF,OS,San Joaquin,AGEID999
789086.258548742,NR,PR,OS,Sacramento,AGEID10
588032.952437025,NR,PR,HW,North Interior,AGEID4
1290883.32247572,NR,PR,RW,North Coast,AGEID3
412410.575138173,R,OF,OS,North Interior,AGEID12
3145727.57725821,NR,PR,MC,Sacramento,AGEID10
4095371.6962751,R,OF,MC,San Joaquin,AGEID999
202728.133100465,R,FS,PP,North Interior,AGEID5
1173554.13507479,NR,PR,MC,Sacramento,AGEID15
214063.679234751,NR,PR,HW,North Interior,AGEID16
224104.776414482,NR,PR,OS,North Interior,AGEID4
379472.436212026,NR,PR,HW,Central Coast,AGEID8
1097126.67682267,NR,PR,HW,Sacramento,AGEID10
47192.4464848161,NR,FS,DF,North Interior,AGEID15
335061.813418919,R,OF,HW,San Joaquin,AGEID999
307436.184732002,R,FS,PP,San Joaquin,AGEID11
251000.911468246,R,FS,HW,North Coast,AGEID3
253045.864926919,R,SLPub,DF,North Coast,AGEID3
335018.966038452,NR,PR,HW,Central Coast,AGEID9
997670.284567445,NR,PR,OS,North Interior,AGEID5
365113.811737026,NR,PR,RW,Central Coast,AGEID18
203141.467732099,R,OF,MC,Sacramento,AGEID7
1012918.11887809,R,FS,OS,San Joaquin,AGEID19
50689.3266974036,NR,OF,HW,Sacramento,AGEID14
427707.754021891,NR,FS,PP,North Interior,AGEID999
253446.633487018,R,OF,RW,North Coast,AGEID5
2341969.27209629,NR,FS,HW,North Interior,AGEID2
63859.3619266466,NR,FS,HW,North Coast,AGEID1
813245.259244467,NR,FS,HW,Sacramento,AGEID6
579413.76991932,NR,FS,PP,San Joaquin,AGEID12
787905.475638368,NR,PR,DF,North Coast,AGEID9
97541.8381710517,R,SLPub,HW,Central Coast,AGEID12
1731899.21020512,NR,PR,DF,North Coast,AGEID8
171347.217488483,R,FS,PP,Southern,AGEID999
1112878.87270317,NR,FS,MC,North Interior,AGEID2
2112308.3606512,NR,FS,MC,Sacramento,AGEID6
202757.306789614,NR,OF,MC,Sacramento,AGEID8
171821.132076983,NR,PR,OS,San Joaquin,AGEID11
495829.731525083,NR,FS,PP,San Joaquin,AGEID3
688394.882605843,NR,PR,MC,San Joaquin,AGEID1
378489.646197582,NR,FS,OS,North Coast,AGEID11
155839.265998498,NR,PR,HW,San Joaquin,AGEID11
2946425.18873853,NR,PR,MC,North Interior,AGEID5
226799.705347711,R,FS,PP,Sacramento,AGEID15
229681.408636009,R,FS,PP,Central Coast,AGEID14
92732.3858444942,NR,PR,MC,San Joaquin,AGEID11
619430.792966241,NR,FS,OS,North Interior,AGEID2
199125.311096988,NR,FS,OS,North Coast,AGEID1
192289.35675786,NR,PR,HW,San Joaquin,AGEID1
556312.731863592,NR,FS,OS,Sacramento,AGEID6
196885.310382155,R,SLPub,RW,North Coast,AGEID9
3976048.21643543,NR,FS,NS,Sacramento,AGEID0
2123106.22426799,NR,PR,HW,North Interior,AGEID5
2726291.2818349,NR,PR,HW,Sacramento,NOAGE
348007.699853468,R,OF,OS,Sacramento,AGEID16
939212.624397173,NR,FS,PP,Sacramento,AGEID11
2785661.64387,NR,FS,PP,North Interior,AGEID9
596473.885882407,NR,FS,HW,North Interior,AGEID18
2630139.11858145,NR,FS,PP,North Interior,AGEID8
253513.030405695,R,FS,MC,Southern,AGEID18
238756.933533796,NR,FS,PP,North Interior,AGEID17
253045.864926919,NR,PR,RW,North Coast,AGEID10
1533508.31700294,NR,FS,MC,North Interior,AGEID18
290817.510950487,R,SLPub,HW,Central Coast,NOAGE
214063.679234751,NR,PR,DF,North Coast,AGEID999
235400.041651813,R,OF,OS,North Interior,AGEID10
1053967.43313248,NR,PR,MC,Sacramento,AGEID12
234871.095550134,R,FS,OS,Southern,AGEID18
189784.398695189,NR,SLPub,MC,North Interior,AGEID12
303899.110958449,R,FS,MC,North Coast,AGEID10
481770.655713522,NR,PR,MC,Sacramento,AGEID3
63261.4662317297,NR,SLPub,MC,North Interior,AGEID3
109960.549551998,NR,PR,PP,San Joaquin,AGEID6
1022058.32810223,R,SLPub,RW,North Coast,AGEID999
506091.729853837,NR,PR,HW,Sacramento,AGEID12
343838.19781996,R,FS,HW,North Coast,AGEID15
405456.26620093,NR,FS,OS,North Interior,AGEID18
406334.800495586,R,FS,HW,North Coast,AGEID10
236289.338007863,NR,PR,HW,Sacramento,AGEID3
1021734.12126745,NR,PR,HW,North Interior,AGEID7
224104.776414482,R,SLPub,HW,North Coast,AGEID2
88694.4962618006,R,SLPub,MC,Sacramento,AGEID14
181160.047922376,R,SLPub,MC,Sacramento,AGEID9
195183.262726246,NR,PR,HW,Southern,AGEID9
914129.940397764,R,FS,NS,San Joaquin,AGEID0
244099.81998069,R,OF,OS,San Joaquin,AGEID9
717539.978165417,R,OF,OS,San Joaquin,AGEID14
389518.467280194,R,FS,RW,Central Coast,AGEID999
235180.848956791,R,SLPub,HW,Central Coast,AGEID15
4910022.16646026,NR,PR,MC,North Interior,AGEID7
404624.656211201,NR,FS,PP,San Joaquin,AGEID10
65399.9495125641,NR,OF,OS,San Joaquin,AGEID7
389635.013191423,R,SLPub,HW,Central Coast,AGEID10
365118.683375567,NR,FS,MC,Sacramento,AGEID19
241956.797159687,R,OF,OS,San Joaquin,AGEID17
78690.0424622428,NR,FS,OS,North Interior,AGEID20
503491.69660336,NR,FS,PP,San Joaquin,AGEID15
379120.763418281,NR,PR,HW,North Interior,AGEID13
448642.348597791,R,OF,MC,San Joaquin,AGEID14
244099.81998069,R,OF,MC,San Joaquin,AGEID9
200711.691020142,R,SLPub,OS,Sacramento,AGEID8
196885.310382155,R,SLPub,OS,Sacramento,AGEID9
501806.391159561,NR,FS,OS,Sacramento,AGEID19
1694377.81046151,NR,PR,MC,North Interior,AGEID13
590033.314933698,R,OF,MC,San Joaquin,AGEID17
192199.91482448,R,FS,HW,North Coast,NOAGE
1599180.63326217,NR,PR,OS,North Interior,AGEID7
163391.883237391,R,FS,HW,San Joaquin,AGEID6
82500.406266751,NR,PR,HW,Central Coast,AGEID999
1476588.76649815,NR,PR,PP,North Interior,AGEID1
638131.30428765,R,FS,HW,Central Coast,NOAGE
58936.2440876722,NR,PR,PP,San Joaquin,AGEID5
3158959.03901183,NR,FS,OS,San Joaquin,AGEID999
42197.3983649061,R,FS,OS,San Joaquin,AGEID4
869742.289686404,NR,PR,PP,North Interior,AGEID11
295689.366929101,NR,FS,OS,North Interior,AGEID3
948018.38679741,NR,PR,PP,Sacramento,AGEID9
1415413.21208537,NR,PR,PP,Sacramento,AGEID8
360783.801678572,R,FS,MC,San Joaquin,AGEID16
28036.8438024559,NR,FS,DF,North Interior,AGEID18
675565.127956249,NR,FS,OS,North Interior,AGEID12
4034011.69757155,NR,FS,MC,San Joaquin,AGEID999
200711.691020142,R,SLPub,PP,North Interior,AGEID13
795035.737102865,NR,FS,HW,North Interior,AGEID12
382113.098969782,R,FS,DF,North Coast,AGEID10
293176.162850847,NR,OF,PP,North Interior,AGEID5
393036.047627344,R,FS,DF,North Coast,AGEID15
1423501.5753582,NR,FS,HW,North Interior,AGEID3
2494827.48855433,NR,FS,MC,North Interior,AGEID12
1022611.54828125,R,FS,OS,San Joaquin,AGEID16
102828.037332074,NR,OF,HW,North Coast,AGEID3
415785.849172948,NR,FS,HW,San Joaquin,AGEID999
796868.318183618,NR,FS,MC,North Interior,AGEID3
188336.661606565,NR,OF,HW,North Coast,AGEID12
681430.857198536,NR,FS,PP,San Joaquin,AGEID2
113872.279877102,NR,FS,RW,San Joaquin,AGEID2
2933967.19549024,NR,FS,MC,Sacramento,AGEID7
235744.976350689,NR,OF,PP,North Interior,AGEID4
193910.736530355,R,FS,HW,Central Coast,AGEID15
270348.012686766,R,SLPub,RW,Central Coast,AGEID999
1383217.99415846,NR,FS,OS,Sacramento,AGEID13
188522.745201565,R,FS,HW,Central Coast,AGEID10
1827314.50566749,NR,FS,HW,Sacramento,AGEID7
233222.569636034,R,FS,MC,Sacramento,AGEID9
556776.377921504,R,FS,MC,North Interior,AGEID11
159467.849157699,R,OF,PP,San Joaquin,AGEID12
546568.617426559,R,FS,HW,North Interior,AGEID1
199125.311096988,R,FS,HW,North Coast,AGEID2
46913.250293787,NR,PR,DF,North Interior,AGEID7
203515.222966181,NR,FS,HW,Southern,AGEID11
47491.7252490044,R,FS,HW,San Joaquin,AGEID5
203221.134122808,NR,PR,RW,Central Coast,AGEID10
197431.244537321,R,SLPub,HW,North Coast,NOAGE
3647150.22772698,NR,FS,MC,Sacramento,AGEID13
315605.003786375,NR,PR,OS,North Interior,AGEID19
585507.916309479,NR,PR,PP,San Joaquin,AGEID4
39273.7708939821,NR,OF,PP,Sacramento,AGEID10
2168504.47412539,NR,FS,OS,Sacramento,AGEID7
37472.8727134604,R,SLPub,HW,San Joaquin,AGEID6
746860.350966406,NR,FS,HW,Sacramento,AGEID13
188522.745201565,R,FS,OS,Sacramento,AGEID8
117385.643810578,R,OF,NS,Sacramento,AGEID0
1403034.69326091,NR,PR,RW,North Coast,AGEID2
577574.200141469,R,FS,OS,North Interior,AGEID11
280627.406791943,R,FS,OS,Sacramento,AGEID9
1901686.37487688,NR,FS,PP,North Interior,AGEID4
202757.306789614,NR,OF,MC,Sacramento,AGEID7
193910.736530355,R,FS,PP,North Interior,AGEID999
517370.565317952,NR,FS,OS,San Joaquin,AGEID19
297514.838691328,R,OF,HW,North Interior,AGEID11
958446.554287171,NR,PR,DF,North Coast,AGEID7
380552.607880894,R,FS,HW,North Coast,AGEID1
260156.216608565,R,FS,HW,North Interior,AGEID2
194620.441684953,R,FS,MC,North Coast,AGEID11
127009.377679163,NR,FS,HW,Southern,AGEID2
194620.441684953,R,FS,HW,North Coast,AGEID11
239669.311873026,R,FS,PP,Central Coast,AGEID13
192662.962829513,NR,SLPub,HW,Central Coast,AGEID12
179751.98390477,R,FS,MC,North Interior,AGEID2
395229.427614455,NR,FS,PP,Southern,AGEID999
226799.705347711,R,FS,PP,Southern,AGEID16
1893911.1762181,NR,FS,PP,Sacramento,AGEID10
632509.421325816,NR,PR,RW,North Coast,AGEID1
122516.779086047,R,OF,OS,North Coast,AGEID2
440125.482506784,NR,FS,MC,San Joaquin,AGEID19
502326.560731981,NR,SLPub,RW,North Coast,AGEID9
307436.184732002,R,FS,OS,North Coast,AGEID1
916903.727068812,NR,PR,RW,North Coast,AGEID11
214498.812611715,NR,FS,PP,North Interior,AGEID16
307436.184732002,R,FS,NS,Sacramento,AGEID0
213660.074842554,R,OF,HW,Central Coast,NOAGE
410858.157133664,NR,FS,DF,North Coast,AGEID18
213660.074842554,NR,PR,HW,San Joaquin,AGEID12
733665.292041265,NR,PR,MC,North Interior,AGEID999
13490.0362190565,NR,PR,HW,Central Coast,AGEID13
361404.092881495,NR,PR,OS,Central Coast,AGEID7
459617.315388453,NR,PR,MC,San Joaquin,AGEID12
718928.986047554,NR,PR,PP,North Interior,AGEID2
578021.995496195,NR,PR,PP,Sacramento,AGEID6
446857.126770305,R,OF,MC,San Joaquin,AGEID16
206257.203848564,NR,OF,OS,North Interior,AGEID12
293909.863187174,NR,OF,HW,North Interior,AGEID12
434118.444471794,NR,FS,PP,San Joaquin,AGEID1
771242.668513992,R,OF,RW,North Coast,AGEID999
184161.018369029,R,OF,DF,North Coast,AGEID15
340542.471162105,NR,PR,OS,North Interior,AGEID999
945246.845918193,NR,PR,HW,Central Coast,AGEID7
661873.337433429,NR,FS,PP,North Interior,AGEID5
1539618.2949046,NR,FS,PP,San Joaquin,AGEID11
550359.769217085,NR,FS,HW,North Coast,AGEID3
273371.317677172,NR,OF,MC,North Interior,AGEID12
435666.483093403,R,OF,OS,San Joaquin,AGEID16
197431.244537321,R,OF,OS,Central Coast,NOAGE
202728.133100465,R,FS,DF,North Coast,AGEID11
326705.597406594,R,FS,OS,San Joaquin,AGEID8
376659.238768236,NR,FS,HW,San Joaquin,AGEID13
568995.703338997,R,FS,OS,San Joaquin,AGEID9
395632.57884784,R,FS,OS,San Joaquin,AGEID14
63317.9424471057,R,SLPub,HW,North Coast,AGEID11
412350.178822536,R,OF,NS,San Joaquin,AGEID0
380288.804836648,R,FS,OS,North Interior,NOAGE
512863.602920091,NR,PR,PP,Sacramento,AGEID4
749660.150121562,NR,FS,MC,San Joaquin,AGEID13
4268415.4363932,NR,PR,HW,North Coast,AGEID7
523571.069731832,NR,FS,OS,San Joaquin,AGEID7
855567.856531639,R,FS,OS,San Joaquin,AGEID17
345397.985595441,R,FS,MC,San Joaquin,AGEID14
1819970.48177093,R,FS,MC,San Joaquin,AGEID9
268875.923711801,NR,FS,HW,San Joaquin,AGEID7
512044.229435147,R,FS,MC,San Joaquin,AGEID8
511646.639427081,R,FS,HW,North Interior,NOAGE
226799.705347711,R,FS,HW,San Joaquin,AGEID14
193910.736530355,R,FS,MC,San Joaquin,AGEID17
479607.659178101,R,FS,HW,San Joaquin,AGEID9
957926.366779466,NR,FS,MC,San Joaquin,AGEID7
1380143.42795292,NR,PR,PP,North Interior,AGEID10
397517.397879249,NR,FS,HW,Southern,NOAGE
251691.833215744,NR,SLPub,MC,San Joaquin,AGEID19
654290.641258102,NR,FS,OS,San Joaquin,AGEID13
274984.893628379,NR,PR,HW,North Coast,AGEID13
821252.173134598,NR,FS,HW,Sacramento,AGEID999
150533.768265106,NR,SLPub,RW,Central Coast,AGEID9
274984.893628379,NR,OF,HW,North Interior,AGEID18
24462.3714638916,NR,OF,PP,North Interior,AGEID9
253045.864926919,NR,PR,RW,Central Coast,AGEID11
1318837.24888383,NR,FS,PP,North Interior,AGEID6
1270705.8105366,NR,FS,PP,Sacramento,AGEID2
10171.1965560391,NR,OF,PP,North Interior,AGEID8
192199.91482448,NR,FS,MC,North Coast,AGEID18
242166.967880131,R,FS,OS,North Interior,AGEID15
5307936.26689616,NR,FS,MC,Sacramento,AGEID999
253045.864926919,NR,PR,DF,Central Coast,AGEID13
276241.822983004,R,FS,OS,North Interior,AGEID10
183811.458371291,NR,PR,PP,San Joaquin,AGEID9
499596.043680488,R,FS,HW,North Interior,AGEID10
168123.672657445,NR,PR,PP,San Joaquin,AGEID14
190483.353861197,NR,FS,DF,North Coast,AGEID12
234683.82564281,NR,FS,DF,North Coast,AGEID3
275748.659869856,R,FS,MC,Sacramento,AGEID16
268583.587236598,R,FS,HW,North Interior,AGEID15
488984.271978602,NR,PR,PP,San Joaquin,AGEID8
235744.976350689,NR,PR,DF,Central Coast,AGEID7
786210.827972663,R,FS,MC,North Interior,AGEID10
91892.6756163955,NR,FS,HW,Southern,AGEID15
303504.294315827,R,FS,HW,Central Coast,AGEID1
306978.861020302,NR,PR,PP,North Interior,NOAGE
170166.261762001,R,FS,OS,Sacramento,AGEID4
206238.670221284,R,OF,HW,North Coast,AGEID10
1728070.42082558,NR,FS,OS,Sacramento,AGEID999
1019243.73156221,R,FS,MC,North Interior,AGEID15
236190.560179488,R,FS,HW,Sacramento,AGEID16
86080.6213572546,NR,PR,PP,Sacramento,AGEID5
1682718.4879601,NR,FS,HW,Sacramento,AGEID9
193910.736530355,R,FS,MC,Sacramento,AGEID7
657958.660358144,NR,FS,MC,Sacramento,AGEID17
1981972.68920096,NR,FS,HW,North Interior,AGEID11
764691.711553006,R,OF,OS,San Joaquin,AGEID19
345203.308847479,NR,FS,HW,Sacramento,AGEID14
31842.2284742797,NR,FS,MC,North Interior,AGEID1
202728.133100465,NR,FS,HW,Central Coast,AGEID10
113933.210802461,NR,OF,HW,Sacramento,AGEID6
129024.966815951,R,FS,MC,Southern,AGEID11
1749086.5700212,NR,FS,HW,Sacramento,AGEID8
48510.9618082468,NR,OF,PP,San Joaquin,AGEID12
467421.071001114,NR,FS,HW,North Interior,AGEID1
517108.698567969,NR,FS,HW,North Coast,AGEID2
274984.893628379,NR,PR,OS,San Joaquin,AGEID2
8269834.37968332,NR,FS,MC,Sacramento,AGEID9
6157254.41470061,NR,FS,MC,North Interior,AGEID11
1168858.48612829,NR,FS,MC,Sacramento,AGEID14
7162819.94077778,NR,FS,MC,Sacramento,AGEID8
2802225.90895751,NR,PR,DF,North Coast,AGEID6
918842.723286733,NR,PR,OS,North Coast,AGEID5
176538.526985447,NR,FS,HW,San Joaquin,AGEID5
196885.310382155,NR,SLPub,DF,North Coast,AGEID2
74572.4950041008,R,OF,DF,North Coast,AGEID20
9755193.17668346,NR,PR,HW,North Coast,AGEID5
189778.195897692,NR,FS,OS,San Joaquin,AGEID5
176808.732263017,NR,PR,HW,San Joaquin,AGEID2
973966.188377829,R,OF,MC,San Joaquin,AGEID19
1590780.13522354,NR,FS,OS,Sacramento,AGEID8
782209.622440546,NR,FS,OS,Sacramento,AGEID14
1562949.82205074,NR,FS,OS,North Interior,AGEID11
1016576.4622718,NR,PR,PP,North Interior,AGEID3
60104.0097719195,R,SLPub,RW,North Coast,AGEID6
1384651.68822483,NR,FS,OS,Sacramento,AGEID9
228988.600634126,NR,PR,MC,San Joaquin,AGEID2
52614.6576190299,NR,FS,HW,Central Coast,NOAGE
150498.740343586,NR,FS,DF,Southern,AGEID18
466449.372724945,NR,PR,PP,Sacramento,AGEID7
8207143.75355348,R,FS,OS,San Joaquin,AGEID999
5305424.29047227,NR,PR,HW,North Coast,AGEID4
171271.12470309,NR,FS,OS,San Joaquin,AGEID4
328453.493081303,NR,FS,HW,San Joaquin,AGEID16
24385.4595427629,NR,PR,DF,Central Coast,AGEID5
176153.321662601,R,FS,PP,Southern,AGEID19
2312591.90906306,NR,FS,MC,San Joaquin,AGEID16
8462.23164918842,R,SLPub,PP,Southern,AGEID7
235744.976350689,NR,PR,MC,North Coast,AGEID4
60166.3937227016,R,FS,HW,North Interior,AGEID12
421650.609165981,NR,FS,DF,North Coast,AGEID10
105074.708340224,NR,FS,MC,San Joaquin,AGEID4
4061106.19294573,R,FS,MC,San Joaquin,AGEID999
109663.975578997,NR,PR,PP,Sacramento,AGEID13
142936.617230492,NR,FS,DF,North Coast,AGEID15
202728.133100465,NR,FS,MC,Southern,AGEID12
128610.216776508,R,FS,HW,North Interior,AGEID3
159594.481135776,NR,FS,HW,San Joaquin,AGEID4
591147.893640546,NR,PR,HW,Central Coast,AGEID6
244099.81998069,R,OF,HW,North Coast,AGEID3
984757.059149284,R,FS,MC,North Interior,AGEID12
451010.879341338,NR,PR,HW,North Coast,AGEID16
406267.958831833,NR,FS,OS,San Joaquin,AGEID16
51443.1874907562,NR,SLPub,MC,Sacramento,AGEID9
14584.6539741799,R,SLPub,HW,Sacramento,AGEID7
7419255.67647757,NR,PR,HW,North Coast,AGEID6
583112.00191007,NR,PR,HW,Sacramento,AGEID1
159504.203352725,NR,FS,OS,San Joaquin,AGEID6
5102299.86039295,NR,PR,MC,North Interior,AGEID9
244151.543475777,NR,FS,OS,Southern,AGEID20
235744.976350689,NR,PR,MC,North Interior,AGEID14
1021637.56573716,NR,PR,MC,Sacramento,AGEID11
152067.980092211,R,OF,HW,San Joaquin,AGEID13
6063159.98714082,NR,PR,MC,North Interior,AGEID8
263872.220052101,NR,FS,DF,North Coast,AGEID2
635781.92146944,NR,PR,HW,San Joaquin,NOAGE
1756886.34878959,NR,FS,NS,San Joaquin,AGEID0
635051.261055797,NR,PR,HW,North Interior,AGEID9
716181.388737707,R,FS,PP,San Joaquin,AGEID10
273371.317677172,R,OF,MC,San Joaquin,AGEID13
196140.73583391,NR,PR,HW,North Interior,AGEID14
235744.976350689,NR,PR,HW,Sacramento,AGEID11
721343.247677994,NR,PR,MC,Sacramento,AGEID1
165599.991421597,R,SLPub,MC,Sacramento,AGEID7
152942.308557348,NR,SLPub,HW,Sacramento,AGEID8
2041287.57897208,NR,PR,HW,North Interior,AGEID8
222006.408250848,R,OF,OS,San Joaquin,AGEID7
440728.730039758,NR,FS,PP,Sacramento,AGEID12
952385.188003739,NR,PR,OS,North Interior,AGEID8
963107.033512742,NR,FS,PP,Sacramento,AGEID3
290672.427821428,NR,PR,OS,Sacramento,AGEID11
842140.405789849,NR,PR,OS,North Interior,AGEID9
220315.267546803,NR,FS,MC,San Joaquin,AGEID6
211234.017169151,NR,OF,HW,San Joaquin,AGEID9
358527.580104696,NR,PR,NS,North Coast,AGEID0
199850.614496233,R,SLPub,MC,Sacramento,AGEID13
434118.444471794,NR,FS,HW,San Joaquin,AGEID6
63539.8166831492,NR,PR,OS,Sacramento,AGEID1
905243.618933921,R,OF,OS,San Joaquin,AGEID13
4273588.36676177,NR,PR,DF,North Coast,AGEID5
142475.175747013,R,FS,PP,North Interior,AGEID9
25581.8086631383,NR,FS,OS,North Coast,AGEID10
236884.946659312,NR,PR,HW,San Joaquin,AGEID10
40473.0999015933,R,FS,PP,North Interior,AGEID8
293430.043633745,NR,SLPub,OS,Southern,AGEID12
4449939.4356683,NR,PR,DF,North Coast,AGEID4
176153.938393476,NR,FS,PP,Southern,AGEID8
611861.061266816,R,FS,MC,North Interior,AGEID18
36930.951147706,NR,SLPub,HW,Central Coast,NOAGE
903914.825412602,NR,FS,PP,North Interior,AGEID7
1552012.2992606,NR,PR,MC,San Joaquin,AGEID10
177890.318162857,NR,PR,HW,Central Coast,AGEID5
724197.061977695,NR,PR,MC,San Joaquin,AGEID15
225521.879133172,NR,FS,HW,Southern,AGEID18
94586.3204744689,R,SLPub,OS,San Joaquin,AGEID999
427320.149685109,R,OF,DF,North Coast,AGEID3
621237.016923833,NR,FS,MC,North Coast,AGEID10
274984.893628379,NR,PR,DF,North Coast,AGEID16
187279.597004974,NR,FS,HW,North Coast,AGEID15
147304.069537239,NR,PR,OS,San Joaquin,AGEID15
139915.261086274,NR,OF,MC,North Interior,AGEID10
475854.649670727,NR,FS,PP,North Interior,AGEID13
194620.441684953,NR,FS,HW,North Coast,AGEID10
42371.869421559,NR,PR,OS,San Joaquin,AGEID10
536838.39294824,R,FS,OS,North Interior,AGEID18
